List,Total_Views,Total_Downloads,Year,Yearly_Views,Yearly_Downloads,sort_key
S20,1075,1045,2025,330.0,315.0,20
S20,745,730,2024,450.0,37.0,20
S21,2535,1792,2025,566.0,565.0,21
S21,1969,1227,2024,1004.0,125.0,21
S21,965,1102,2023,387.0,212.0,21
S21,578,890,2022,578.0,890.0,21
S22,546,871,2024,288.0,70.0,22
S22,745,1110,2025,199.0,239.0,22
S22,258,801,2023,59.0,168.0,22
S22,199,633,2022,199.0,633.0,22
S23,531,756,2024,207.0,22.0,23
S23,324,734,2023,94.0,177.0,23
S23,230,557,2022,230.0,557.0,23
S23,701,974,2025,170.0,218.0,23
S24,191,625,2023,36.0,130.0,24
S24,155,495,2022,155.0,495.0,24
S24,844,917,2025,272.0,252.0,24
S24,572,665,2024,381.0,40.0,24
S25,1421,1520,2022,1421.0,1520.0,25
S25,2283,2379,2023,862.0,859.0,25
S25,3860,2479,2024,1577.0,100.0,25
S25,5001,3061,2025,1141.0,582.0,25
S26,131,478,2022,131.0,478.0,26
S26,497,686,2024,297.0,69.0,26
S26,741,952,2025,244.0,266.0,26
S26,200,617,2023,69.0,139.0,26
S27,612,449,2024,452.0,148.0,27
S27,820,644,2025,208.0,195.0,27
S27,64,158,2022,64.0,158.0,27
S27,160,301,2023,96.0,143.0,27
S28,86,473,2022,86.0,473.0,28
S28,142,624,2023,56.0,151.0,28
S28,628,666,2024,486.0,42.0,28
S28,861,874,2025,233.0,208.0,28
S29,3107,933,2023,2836.0,276.0,29
S29,4105,1079,2024,998.0,146.0,29
S29,4559,1441,2025,454.0,362.0,29
S29,271,657,2022,271.0,657.0,29
S30,178,615,2023,45.0,133.0,30
S30,348,629,2024,170.0,14.0,30
S30,480,819,2025,132.0,190.0,30
S30,133,482,2022,133.0,482.0,30
S31,337,613,2024,170.0,25.0,31
S31,167,588,2023,54.0,129.0,31
S31,113,459,2022,113.0,459.0,31
S31,497,798,2025,160.0,185.0,31
S32,839,1114,2023,416.0,232.0,32
S32,2485,1654,2024,1646.0,540.0,32
S32,3395,2436,2025,910.0,782.0,32
S32,423,882,2022,423.0,882.0,32
S33,937,1116,2025,310.0,288.0,33
S33,75,584,2022,75.0,584.0,33
S33,129,769,2023,54.0,185.0,33
S33,627,828,2024,498.0,59.0,33
S34,286,487,2022,286.0,487.0,34
S34,353,632,2023,67.0,145.0,34
S34,625,890,2025,135.0,210.0,34
S34,490,680,2024,137.0,48.0,34
S35,446,533,2022,446.0,533.0,35
S35,597,701,2023,151.0,168.0,35
S35,1121,784,2024,524.0,83.0,35
S35,1473,1137,2025,352.0,353.0,35
S36,2380,1528,2024,1154.0,259.0,36
S36,554,676,2022,554.0,676.0,36
S36,3004,2046,2025,624.0,518.0,36
S36,1226,1269,2023,672.0,593.0,36
S37,221,559,2022,221.0,559.0,37
S37,668,720,2024,386.0,12.0,37
S37,890,927,2025,222.0,207.0,37
S37,282,708,2023,61.0,149.0,37
S38,82,422,2022,82.0,422.0,38
S38,127,546,2023,45.0,124.0,38
S38,348,580,2024,221.0,34.0,38
S38,539,797,2025,191.0,217.0,38
S39,561,740,2024,316.0,83.0,39
S39,754,957,2025,193.0,217.0,39
S39,193,507,2022,193.0,507.0,39
S39,245,657,2023,52.0,150.0,39
S40,141,486,2022,141.0,486.0,40
S40,187,625,2023,46.0,139.0,40
S40,428,648,2024,241.0,23.0,40
S40,604,904,2025,176.0,256.0,40
S41,806,906,2025,246.0,272.0,41
S41,167,612,2023,54.0,156.0,41
S41,560,634,2024,393.0,22.0,41
S41,113,456,2022,113.0,456.0,41
S42,94,448,2022,94.0,448.0,42
S42,124,581,2023,30.0,133.0,42
S42,283,597,2024,159.0,16.0,42
S42,458,856,2025,175.0,259.0,42
S43,468,900,2025,166.0,244.0,43
S43,161,619,2023,41.0,137.0,43
S43,120,482,2022,120.0,482.0,43
S43,302,656,2024,141.0,37.0,43
S44,85,451,2022,85.0,451.0,44
S44,115,582,2023,30.0,131.0,44
S44,254,587,2024,139.0,5.0,44
S44,374,776,2025,120.0,189.0,44
S45,192,522,2022,192.0,522.0,45
S45,267,675,2023,75.0,153.0,45
S45,679,682,2024,412.0,7.0,45
S45,865,952,2025,186.0,270.0,45
S46,477,765,2022,477.0,765.0,46
S46,799,1107,2023,322.0,342.0,46
S46,1952,1381,2025,465.0,230.0,46
S46,1487,1151,2024,688.0,44.0,46
S47,432,726,2022,432.0,726.0,47
S47,1248,1331,2023,816.0,605.0,47
S47,1919,1645,2024,671.0,314.0,47
S47,2636,2374,2025,717.0,729.0,47
S48,879,1129,2025,146.0,217.0,48
S48,403,655,2022,403.0,655.0,48
S48,534,886,2023,131.0,231.0,48
S48,733,912,2024,199.0,26.0,48
S49,744,958,2025,181.0,220.0,49
S49,563,738,2024,278.0,-10.0,49
S49,285,748,2023,82.0,162.0,49
S49,203,586,2022,203.0,586.0,49
S50,573,1105,2022,573.0,1105.0,50
S50,3740,1577,2023,3167.0,472.0,50
S50,4363,1433,2024,623.0,-144.0,50
S50,4822,1936,2025,459.0,503.0,50
S51,166,478,2022,166.0,478.0,51
S51,214,621,2023,48.0,143.0,51
S51,385,662,2024,171.0,41.0,51
S51,530,883,2025,145.0,221.0,51
S52,578,673,2024,325.0,18.0,52
S52,203,518,2022,203.0,518.0,52
S52,253,655,2023,50.0,137.0,52
S52,787,834,2025,209.0,161.0,52
S53,407,700,2024,120.0,18.0,53
S53,287,682,2023,45.0,152.0,53
S53,552,979,2025,145.0,279.0,53
S53,242,530,2022,242.0,530.0,53
S54,219,494,2022,219.0,494.0,54
S54,313,679,2023,94.0,185.0,54
S54,640,715,2024,327.0,36.0,54
S54,860,1057,2025,220.0,342.0,54
S55,238,530,2022,238.0,530.0,55
S55,317,681,2023,79.0,151.0,55
S55,837,726,2024,520.0,45.0,55
S55,1648,1555,2025,811.0,829.0,55
S56,628,898,2025,191.0,250.0,56
S56,194,628,2023,41.0,140.0,56
S56,437,648,2024,243.0,20.0,56
S56,153,488,2022,153.0,488.0,56
